operand,10 count
"[1]",144
"[2]",2
"[3]",764
"[4]",14
"[5]",749
"[6]",
"[7]",21
"[8]",37
"[9]",2
"[10]",7
"[11]",129
"[5,9,1,2,1]",1
"[5,9,5]",1
"[5,2,4,4]",1
"[5,5,9,9,2,4,1,4,8,8,1,1]",1
"[5,5,1,5]",1
"[3,8,5,8,5,2,9,7,9,8,9,4,8,2,11]",1
"[5,7,7,9,11,2,11,3]",1
